N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_331._tr|A0A0J9REQ5|A0A0J9REQ5_DROSI	GO:0004252	GO:0006508
N_332._tr|A0A0J9RVT0|A0A0J9RVT0_DROSI	GO:0016021
N_333._tr|B4QYJ5|B4QYJ5_DROSI	GO:0004252	GO:0006508
N_334._tr|B4Q4R2|B4Q4R2_DROSI	
N_335._tr|B4QAN5|B4QAN5_DROSI	GO:0051603	GO:0005839
N_336._tr|B4QP26|B4QP26_DROSI	GO:0008137
N_337._tr|B4QW06|B4QW06_DROSI	GO:0046983	GO:0003677	GO:0006355
N_338._tr|A0A0J9RWW6|A0A0J9RWW6_DROSI	
N_339._tr|A0A0J9R7V0|A0A0J9R7V0_DROSI	
N_340._tr|B4QC57|B4QC57_DROSI	GO:0016758	GO:0006486	GO:0016020
N_341._tr|A0A0J9RRL9|A0A0J9RRL9_DROSI	GO:0016627	GO:0006629
N_342._tr|B4QH39|B4QH39_DROSI	GO:0005515	GO:0005515	GO:0005515
N_343._tr|A0A0J9QVV3|A0A0J9QVV3_DROSI	GO:0005515
N_344._tr|A0A0A7KUS2|A0A0A7KUS2_DROSI	
N_345._tr|B4R172|B4R172_DROSI	GO:0003723	GO:0003723
N_346._tr|B4QGN8|B4QGN8_DROSI	GO:0004867
N_347._tr|A0A0J9RY03|A0A0J9RY03_DROSI	GO:0005515	GO:0000398	GO:0005515	GO:0005515	GO:0005515
N_348._tr|B4QJ99|B4QJ99_DROSI	
N_349._tr|B4QT61|B4QT61_DROSI	
N_350._tr|B4QK50|B4QK50_DROSI	GO:0016020
N_351._tr|A0A0J9QUP4|A0A0J9QUP4_DROSI	
N_352._tr|B4QK75|B4QK75_DROSI	
N_353._tr|A0A0J9QXI5|A0A0J9QXI5_DROSI	
N_354._tr|Q6V667|Q6V667_DROSI	GO:0007165	GO:0005515	GO:0007165	GO:0005515
N_355._tr|B4QLL3|B4QLL3_DROSI	GO:0008289
N_356._tr|B6UVR2|B6UVR2_DROSI	GO:0005634
N_357._tr|B4Q4F3|B4Q4F3_DROSI	GO:0031625	GO:0006511
N_358._tr|A0A0J9R4P8|A0A0J9R4P8_DROSI	GO:0005515	GO:0008270
N_359._tr|A0A0J9UJB5|A0A0J9UJB5_DROSI	
N_360._tr|B4QGR1|B4QGR1_DROSI	
N_361._tr|A0A0J9RXW5|A0A0J9RXW5_DROSI	GO:0016021
N_362._tr|A0A0J9UE91|A0A0J9UE91_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_363._tr|B4Q5F4|B4Q5F4_DROSI	GO:0003824	GO:0005992
N_364._tr|B4R2K2|B4R2K2_DROSI	GO:0003723
N_365._tr|B4R5D7|B4R5D7_DROSI	GO:0006807
N_366._tr|A0A0J9RRP3|A0A0J9RRP3_DROSI	GO:0005515
N_367._tr|B4QGB9|B4QGB9_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_368._tr|B4QSA3|B4QSA3_DROSI	GO:0006629
N_369._tr|A0A0J9R5S5|A0A0J9R5S5_DROSI	GO:0004066	GO:0006529
N_370._tr|A0A0J9USP1|A0A0J9USP1_DROSI	GO:0003700	GO:0043565	GO:0006355
N_371._tr|B4QFF5|B4QFF5_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_372._tr|B4QEW8|B4QEW8_DROSI	GO:0005515
N_373._tr|B4R7A3|B4R7A3_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_374._tr|B4Q4S5|B4Q4S5_DROSI	
N_375._tr|B4QGH9|B4QGH9_DROSI	GO:0008270	GO:0005634
N_376._tr|A0A0J9QUL9|A0A0J9QUL9_DROSI	
N_377._tr|A0A0J9QZ57|A0A0J9QZ57_DROSI	
N_378._tr|B4R5S7|B4R5S7_DROSI	GO:0004198	GO:0006508	GO:0005509
N_379._tr|A0A0J9RGI1|A0A0J9RGI1_DROSI	GO:0003779	GO:0005198	GO:0005856
N_380._tr|B2ZI92|B2ZI92_DROSI	GO:0003723
N_381._tr|A0A0J9R9A6|A0A0J9R9A6_DROSI	
N_382._tr|B4Q6M2|B4Q6M2_DROSI	
N_383._tr|B4R7I5|B4R7I5_DROSI	GO:0016298
N_384._tr|B4QYR9|B4QYR9_DROSI	GO:0008270	GO:0005634
N_385._tr|B4QW15|B4QW15_DROSI	GO:0046983	GO:0003677	GO:0006355
N_386._tr|Q58SI3|Q58SI3_DROSI	GO:0016844	GO:0009058	GO:0005515
N_387._sp|B4QZ45|SCC4_DROSI	GO:0007064	GO:0005515
N_388._tr|A0A0J9R2J4|A0A0J9R2J4_DROSI	GO:0004930	GO:0007186	GO:0016021
N_389._tr|A9YJV2|A9YJV2_DROSI	
N_390._tr|B4NUS0|B4NUS0_DROSI	GO:0004345	GO:0050661	GO:0006006
N_391._tr|A0A0J9RRR0|A0A0J9RRR0_DROSI	
N_392._tr|B4Q506|B4Q506_DROSI	GO:0005509	GO:0005509	GO:0007155	GO:0005576	GO:0005509	GO:0007155
N_393._tr|A0A0J9S0E2|A0A0J9S0E2_DROSI	GO:0001772	GO:0016021	GO:0097197
N_394._tr|B4QXE7|B4QXE7_DROSI	GO:0003682
N_395._tr|B4R733|B4R733_DROSI	GO:0005515
N_396._tr|A0A0J9QZ15|A0A0J9QZ15_DROSI	
N_397._tr|A0A3Q7YP07|A0A3Q7YP07_DROSI	GO:0003677
N_398._tr|A0A0J9RJ11|A0A0J9RJ11_DROSI	
N_399._tr|B4R2K4|B4R2K4_DROSI	GO:0016021
N_400._tr|B4QY73|B4QY73_DROSI	GO:0004252	GO:0006508
N_401._tr|B4NTT7|B4NTT7_DROSI	
N_402._tr|A1YK46|A1YK46_DROSI	GO:0017056	GO:0006913	GO:0005643
N_403._tr|B4QLZ6|B4QLZ6_DROSI	GO:0016747	GO:0016747
N_404._tr|B4QM49|B4QM49_DROSI	GO:0003723	GO:0003723
N_405._tr|A0A0A7KUS8|A0A0A7KUS8_DROSI	
N_406._tr|B4R3Z7|B4R3Z7_DROSI	GO:0004222	GO:0006508	GO:0006508
N_407._tr|B4QTI8|B4QTI8_DROSI	
N_408._tr|A0A0J9QX91|A0A0J9QX91_DROSI	
N_409._tr|A0A0J9R3K2|A0A0J9R3K2_DROSI	
N_410._tr|A0A0J9R991|A0A0J9R991_DROSI	GO:0003677
N_411._tr|B4R6K6|B4R6K6_DROSI	GO:0003677
N_412._tr|A0A0J9RFF7|A0A0J9RFF7_DROSI	
N_413._tr|B4NV78|B4NV78_DROSI	
N_414._tr|B4QRN3|B4QRN3_DROSI	
N_415._tr|B4NSL8|B4NSL8_DROSI	
N_416._tr|B4Q8S1|B4Q8S1_DROSI	GO:0003723
N_417._tr|A0A0J9RI31|A0A0J9RI31_DROSI	GO:0003723
N_418._tr|B4QHN9|B4QHN9_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_419._tr|B4Q930|B4Q930_DROSI	GO:0004315	GO:0006633	GO:0009058
N_420._tr|B4R488|B4R488_DROSI	
N_421._tr|B4QU40|B4QU40_DROSI	GO:0046872
N_422._tr|A0A0J9RQK8|A0A0J9RQK8_DROSI	GO:0005085
N_423._tr|A0A0J9TMZ7|A0A0J9TMZ7_DROSI	GO:0003677	GO:0003887	GO:0006260
N_424._tr|B4Q7N6|B4Q7N6_DROSI	GO:0022857	GO:0055085	GO:0016020
N_425._tr|A0A0J9U4P7|A0A0J9U4P7_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_426._tr|A0A3S6A3X9|A0A3S6A3X9_DROSI	GO:0004555	GO:0005991
N_427._tr|A0A0J9TZ78|A0A0J9TZ78_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_428._tr|A0A0J9RNB2|A0A0J9RNB2_DROSI	
N_429._tr|B4QKE7|B4QKE7_DROSI	GO:0004181	GO:0008270	GO:0006508
N_430._tr|B4QFL0|B4QFL0_DROSI	GO:0051016	GO:0008290
N_431._tr|A0A0J9RZS3|A0A0J9RZS3_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_432._tr|A0A3Q7YHZ9|A0A3Q7YHZ9_DROSI	
N_433._tr|B4QEZ9|B4QEZ9_DROSI	
N_434._tr|A0A0J9RC92|A0A0J9RC92_DROSI	GO:0005856	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0008017
N_435._tr|A0A0J9U9X3|A0A0J9U9X3_DROSI	
N_436._tr|Q3YMV9|Q3YMV9_DROSI	
N_437._tr|B4QIS1|B4QIS1_DROSI	
N_438._tr|Q9N6T4|Q9N6T4_DROSI	GO:0008289
N_439._tr|B4R4I3|B4R4I3_DROSI	GO:0005515	GO:0006886	GO:0016192	GO:0030117
N_440._tr|A0A0J9R7H1|A0A0J9R7H1_DROSI	GO:0004252	GO:0006508
N_441._tr|B4Q5V1|B4Q5V1_DROSI	
N_442._tr|A0A0J9UA59|A0A0J9UA59_DROSI	
N_443._tr|E5KYV0|E5KYV0_DROSI	GO:0005515
N_444._tr|F6JG96|F6JG96_DROSI	
N_445._tr|B4QRC2|B4QRC2_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_446._tr|A0A0J9RHG4|A0A0J9RHG4_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_447._tr|A0A0J9RTP1|A0A0J9RTP1_DROSI	GO:0015116	GO:0008272	GO:0016021
N_448._tr|A0A0J9RRZ2|A0A0J9RRZ2_DROSI	GO:0005515	GO:0005515
N_449._tr|Q6V6C1|Q6V6C1_DROSI	GO:0008270	GO:0005515
N_450._tr|B4QGW1|B4QGW1_DROSI	GO:0016779	GO:0009058	GO:0016772
N_451._tr|B4QPT5|B4QPT5_DROSI	GO:0004656	GO:0005783
N_452._tr|A0A0J9RWY2|A0A0J9RWY2_DROSI	GO:0003723	GO:0003723
N_453._tr|A0A0J9QUM0|A0A0J9QUM0_DROSI	
N_454._tr|B4Q7E9|B4Q7E9_DROSI	GO:0009055	GO:0020037	GO:0009055	GO:0020037
N_455._tr|A0A0J9RHL0|A0A0J9RHL0_DROSI	GO:0004930	GO:0007186	GO:0016021
N_456._tr|B4Q4D7|B4Q4D7_DROSI	GO:0046983
N_457._tr|A0A0J9R6K4|A0A0J9R6K4_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_458._tr|A0A0J9RMG1|A0A0J9RMG1_DROSI	
N_459._tr|A0A0J9RCU1|A0A0J9RCU1_DROSI	GO:0022857	GO:0055085
N_460._tr|A0A0J9R9K1|A0A0J9R9K1_DROSI	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_461._tr|B4QIR9|B4QIR9_DROSI	GO:0004843	GO:0016579
N_462._tr|B4QFA6|B4QFA6_DROSI	GO:0005643	GO:0046907
N_463._tr|A0A0J9RSU1|A0A0J9RSU1_DROSI	GO:0042742	GO:0005576
N_464._tr|B4QZN5|B4QZN5_DROSI	GO:0016787
N_465._tr|A0A0J9RTZ1|A0A0J9RTZ1_DROSI	GO:0005515	GO:0005515
N_466._tr|B4R1L9|B4R1L9_DROSI	GO:0016787
N_467._tr|B4Q350|B4Q350_DROSI	GO:0004252	GO:0006508
N_468._tr|B4Q441|B4Q441_DROSI	GO:0004367	GO:0005975	GO:0016616	GO:0051287	GO:0046168
N_469._tr|B4QCH0|B4QCH0_DROSI	GO:0006355
N_470._tr|F6JK53|F6JK53_DROSI	
N_471._tr|B4QXG0|B4QXG0_DROSI	GO:0008061	GO:0005576
N_472._tr|B4NT87|B4NT87_DROSI	GO:0016765	GO:0016021
N_473._tr|A0A0J9RNB8|A0A0J9RNB8_DROSI	GO:0004672	GO:0005524	GO:0006468
N_474._tr|A0A3Q7YPW3|A0A3Q7YPW3_DROSI	
N_475._tr|B4Q9Y4|B4Q9Y4_DROSI	
N_476._tr|A0A0J9RE16|A0A0J9RE16_DROSI	GO:0018193
N_477._tr|A0A0J9U9V3|A0A0J9U9V3_DROSI	GO:0005085	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_478._tr|B4QNQ9|B4QNQ9_DROSI	GO:0005509	GO:0004198	GO:0006508	GO:0005509	GO:0005509
N_479._tr|B4NTX1|B4NTX1_DROSI	GO:0005515
N_480._tr|A0A0J9RRS5|A0A0J9RRS5_DROSI	GO:0005047	GO:0008312	GO:0030942	GO:0006614	GO:0005786
N_481._tr|A0A0J9R0P6|A0A0J9R0P6_DROSI	GO:0005245	GO:0070588	GO:0005891
N_482._tr|B4Q7M6|B4Q7M6_DROSI	
N_483._tr|B4QQU1|B4QQU1_DROSI	
N_484._tr|B4QGT1|B4QGT1_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_485._tr|A0A0J9RNP5|A0A0J9RNP5_DROSI	GO:0019843	GO:0006364
N_486._tr|A0A0J9RDD8|A0A0J9RDD8_DROSI	GO:0005856	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0008017
N_487._tr|A0A0J9RSR6|A0A0J9RSR6_DROSI	
N_488._tr|A0A0J9QT05|A0A0J9QT05_DROSI	GO:0005509
N_489._tr|B4Q995|B4Q995_DROSI	GO:0008236	GO:0006508	GO:0004252
N_490._tr|B4QZG5|B4QZG5_DROSI	
N_491._tr|B4QK34|B4QK34_DROSI	GO:0004386	GO:0003677	GO:0005524	GO:0016787	GO:0046872	GO:0005524
N_492._tr|B4R606|B4R606_DROSI	
N_493._tr|B4QM69|B4QM69_DROSI	GO:0007275	GO:0042600
N_494._tr|A0A0J9R711|A0A0J9R711_DROSI	GO:0006886	GO:0016192
N_495._tr|B4R471|B4R471_DROSI	GO:0005739	GO:0061617	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_496._tr|B4Q458|B4Q458_DROSI	GO:0004565	GO:0005975	GO:0009341
N_497._tr|B4Q696|B4Q696_DROSI	
N_498._tr|A0A0J9QVL8|A0A0J9QVL8_DROSI	GO:0016021
N_499._tr|B4QF36|B4QF36_DROSI	GO:0006351	GO:0003676	GO:0008270	GO:0006351
N_500._tr|A0A0J9RXB0|A0A0J9RXB0_DROSI	GO:0016020
N_501._tr|A0A0J9QT72|A0A0J9QT72_DROSI	GO:0003723
N_502._tr|A0A0J9QYD0|A0A0J9QYD0_DROSI	
N_503._tr|I7C5S8|I7C5S8_DROSI	GO:0015074
N_504._tr|B4QST8|B4QST8_DROSI	GO:0008168	GO:0032259
N_505._tr|A0A0J9R4F1|A0A0J9R4F1_DROSI	GO:0016830	GO:0030170	GO:0019752	GO:0016829	GO:0006520
N_506._tr|B4R0R3|B4R0R3_DROSI	
N_507._tr|A0A0J9RY55|A0A0J9RY55_DROSI	GO:0008146	GO:0016021
N_508._tr|B4QHN3|B4QHN3_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_509._tr|B4QKX4|B4QKX4_DROSI	
N_510._tr|E5KZG8|E5KZG8_DROSI	
N_511._tr|A0A0J9RH72|A0A0J9RH72_DROSI	GO:0003676	GO:0005524
N_512._tr|A0A0J9RVG0|A0A0J9RVG0_DROSI	GO:0005515
N_513._sp|B4QMY7|EIF3E_DROSI	
N_514._tr|A0A0J9QYG1|A0A0J9QYG1_DROSI	GO:0035091
N_515._tr|B4R615|B4R615_DROSI	
N_516._tr|B4QV39|B4QV39_DROSI	GO:0008270	GO:0005634
N_517._tr|A0A0J9R029|A0A0J9R029_DROSI	GO:0006367	GO:0005515
N_518._tr|B4NUI0|B4NUI0_DROSI	GO:0005515	GO:0005515	GO:0005515
N_519._tr|A0A0J9U9B7|A0A0J9U9B7_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_520._tr|B4QJ23|B4QJ23_DROSI	GO:0005515
N_521._tr|A0A0J9TVD3|A0A0J9TVD3_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_522._tr|B4QCC0|B4QCC0_DROSI	
N_523._tr|Q2XXY9|Q2XXY9_DROSI	GO:0031267	GO:0006886
N_524._tr|A0A0J9QXV2|A0A0J9QXV2_DROSI	GO:0005515	GO:0005515
N_525._tr|A0A0J9R1C8|A0A0J9R1C8_DROSI	GO:0005515
N_526._tr|A0A0J9RZI0|A0A0J9RZI0_DROSI	GO:0046855
N_527._tr|B4Q7V0|B4Q7V0_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_528._tr|A0A0J9R5E4|A0A0J9R5E4_DROSI	GO:0016830	GO:0030170	GO:0019752	GO:0030170	GO:0009058	GO:0016829	GO:0006520
N_529._tr|A0A0J9QVF4|A0A0J9QVF4_DROSI	
N_530._tr|B4QJA4|B4QJA4_DROSI	
N_531._tr|B4QUM6|B4QUM6_DROSI	
N_532._tr|B4QHF4|B4QHF4_DROSI	GO:0016787
N_533._tr|Q58SB1|Q58SB1_DROSI	GO:0005515
N_534._tr|K7XHQ2|K7XHQ2_DROSI	
N_535._tr|A0A0J9R8M9|A0A0J9R8M9_DROSI	
N_536._tr|A0A0J9TUA0|A0A0J9TUA0_DROSI	GO:0055085	GO:0016021
N_537._tr|B4QZS5|B4QZS5_DROSI	GO:0003677	GO:0006334	GO:0000786
N_538._tr|A0A0J9R0G5|A0A0J9R0G5_DROSI	GO:0005515	GO:0005515
N_539._tr|B4NRY9|B4NRY9_DROSI	GO:0005515
N_540._tr|B4Q7L1|B4Q7L1_DROSI	
N_541._tr|A0A0J9QYK7|A0A0J9QYK7_DROSI	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005524	GO:0016887
N_542._tr|A0A0J9RC61|A0A0J9RC61_DROSI	GO:0005856	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0008017
N_543._tr|B4QZS7|B4QZS7_DROSI	GO:0004861	GO:0017069	GO:0000122	GO:0005634	GO:0005737
N_544._tr|A0A0J9RES7|A0A0J9RES7_DROSI	GO:0005085
N_545._tr|B4Q697|B4Q697_DROSI	
N_546._tr|B4QDW5|B4QDW5_DROSI	GO:0005524	GO:0005524	GO:0140359	GO:0055085	GO:0016021
N_547._tr|B4Q9J8|B4Q9J8_DROSI	
N_548._tr|B4Q5J5|B4Q5J5_DROSI	
N_549._tr|B4Q309|B4Q309_DROSI	
N_550._tr|A0A0X8XM85|A0A0X8XM85_DROSI	GO:0004129	GO:0020037	GO:0009060	GO:0016021
N_551._tr|A0A3Q7YP48|A0A3Q7YP48_DROSI	GO:0032040
N_552._tr|B4Q4B5|B4Q4B5_DROSI	
N_553._tr|B4QVW1|B4QVW1_DROSI	
N_554._tr|B4QI21|B4QI21_DROSI	GO:0003700	GO:0043565	GO:0006355
N_555._tr|A0A0J9QZF9|A0A0J9QZF9_DROSI	GO:0055085	GO:0016021
N_556._tr|B4NTZ5|B4NTZ5_DROSI	GO:0006355
N_557._tr|B4Q752|B4Q752_DROSI	
N_558._tr|B4Q6K0|B4Q6K0_DROSI	
N_559._tr|A0A0J9S095|A0A0J9S095_DROSI	GO:0005739	GO:0045277
N_560._tr|A0A0J9RPN9|A0A0J9RPN9_DROSI	
N_561._tr|B4QW48|B4QW48_DROSI	GO:0046983
N_562._tr|B4QZ46|B4QZ46_DROSI	
N_563._tr|A0A0J9U1C1|A0A0J9U1C1_DROSI	GO:0005856	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0008017
N_564._tr|A0A0J9R4G5|A0A0J9R4G5_DROSI	
N_565._tr|B4R5R3|B4R5R3_DROSI	
N_566._tr|D7FAV1|D7FAV1_DROSI	GO:0050909	GO:0016021
N_567._tr|A0A0J9RHJ6|A0A0J9RHJ6_DROSI	GO:0042742	GO:0005576
N_568._tr|B4QBQ6|B4QBQ6_DROSI	GO:0046983
N_569._tr|A0A0J9TRL9|A0A0J9TRL9_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_570._tr|A0A0J9RQX6|A0A0J9RQX6_DROSI	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_571._tr|B4QHR7|B4QHR7_DROSI	GO:0003824	GO:0030151	GO:0030170
N_572._tr|A0A0J9R992|A0A0J9R992_DROSI	GO:0004497	GO:0016491	GO:0016491
N_573._tr|B4NTX6|B4NTX6_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_574._tr|B7VC80|B7VC80_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_575._tr|Q6QZN3|Q6QZN3_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_576._tr|B4QL49|B4QL49_DROSI	
N_577._tr|A0A0J9TSN6|A0A0J9TSN6_DROSI	
N_578._tr|Q8I0C3|Q8I0C3_DROSI	GO:0016020
N_579._tr|B4QY59|B4QY59_DROSI	
N_580._tr|B4QM03|B4QM03_DROSI	GO:0003774	GO:0005524	GO:0016459	GO:0003774	GO:0016459
N_581._tr|A0A0J9R877|A0A0J9R877_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_582._tr|A0A0J9RP23|A0A0J9RP23_DROSI	GO:0005515	GO:0005515	GO:0005515
N_583._tr|A0A0J9TCT8|A0A0J9TCT8_DROSI	GO:0005515	GO:0005515
N_584._tr|A0A0J9QUK1|A0A0J9QUK1_DROSI	GO:0005515
N_585._tr|B4NSC5|B4NSC5_DROSI	
N_586._tr|A0A0J9R6T7|A0A0J9R6T7_DROSI	GO:0005515	GO:0016491	GO:0016209	GO:0016491
N_587._tr|B4QUL4|B4QUL4_DROSI	
N_588._tr|B4R165|B4R165_DROSI	
N_589._tr|B4QEX6|B4QEX6_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_590._tr|B4QWL3|B4QWL3_DROSI	
N_591._tr|B4QHI2|B4QHI2_DROSI	GO:0005515
N_592._tr|B4QKA8|B4QKA8_DROSI	
N_593._tr|B5LFL7|B5LFL7_DROSI	
N_594._tr|A0A0J9QXF0|A0A0J9QXF0_DROSI	GO:0004367	GO:0005975	GO:0016616	GO:0051287	GO:0046168
N_595._tr|B4QM04|B4QM04_DROSI	
N_596._tr|B4Q4W5|B4Q4W5_DROSI	GO:0006629
N_597._tr|B4QR29|B4QR29_DROSI	GO:0000166	GO:0004812	GO:0005524	GO:0006418	GO:0004812	GO:0006418	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_598._tr|B4QFF0|B4QFF0_DROSI	
N_599._tr|A0A0J9RM29|A0A0J9RM29_DROSI	GO:0008146	GO:0016021
N_600._tr|B4QUP6|B4QUP6_DROSI	GO:0008168	GO:0008168	GO:0032259	GO:0008168
N_601._tr|A0A3Q7YPS1|A0A3Q7YPS1_DROSI	GO:0006813	GO:0006814	GO:0005890
N_602._tr|B4Q3F8|B4Q3F8_DROSI	
N_603._tr|B4QFM9|B4QFM9_DROSI	
N_604._tr|A0A0J9RE07|A0A0J9RE07_DROSI	GO:0018193
N_605._tr|B4QI71|B4QI71_DROSI	
N_606._tr|A0A0J9UL03|A0A0J9UL03_DROSI	GO:0005515	GO:2001070
N_607._tr|A0A2I4PCK3|A0A2I4PCK3_DROSI	GO:0004129	GO:0020037	GO:0009060	GO:0016021
N_608._tr|B4Q801|B4Q801_DROSI	
N_609._tr|B4Q894|B4Q894_DROSI	GO:0016747	GO:0016747
N_610._tr|B4QR97|B4QR97_DROSI	GO:0005515
N_611._tr|B4R6C3|B4R6C3_DROSI	
N_612._tr|A0A0J9RIP6|A0A0J9RIP6_DROSI	GO:0055085	GO:0016020	GO:0005515	GO:0022857	GO:0055085
N_613._tr|E0ZR53|E0ZR53_DROSI	
N_614._tr|B4R562|B4R562_DROSI	GO:0008270
N_615._tr|A0A0J9RSK2|A0A0J9RSK2_DROSI	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_616._tr|B4QUF5|B4QUF5_DROSI	GO:0005515
N_617._tr|Q6W431|Q6W431_DROSI	GO:0005085
N_618._tr|B4QSL5|B4QSL5_DROSI	
N_619._tr|B4R0Z3|B4R0Z3_DROSI	GO:0003677
N_620._tr|B4R549|B4R549_DROSI	GO:0001401
N_621._tr|B4Q4A9|B4Q4A9_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0044877
N_622._tr|Q3YMT7|Q3YMT7_DROSI	
N_623._tr|A0A0J9R983|A0A0J9R983_DROSI	GO:0004252	GO:0006508
N_624._tr|A0A0J9TCL0|A0A0J9TCL0_DROSI	GO:0005515	GO:0005515	GO:0006886	GO:0016192	GO:0005198	GO:0006886	GO:0016192	GO:0030117	GO:0005515
N_625._tr|B4QER8|B4QER8_DROSI	GO:0008374
N_626._tr|B4Q519|B4Q519_DROSI	
N_627._tr|B4QWP2|B4QWP2_DROSI	GO:0006367	GO:0005672
N_628._tr|A0A0J9U834|A0A0J9U834_DROSI	
N_629._tr|Q2XY07|Q2XY07_DROSI	GO:0005515
N_630._tr|B4QTI0|B4QTI0_DROSI	
N_631._tr|A0A0J9UEE5|A0A0J9UEE5_DROSI	GO:0022857	GO:0055085
N_632._tr|B5LFP8|B5LFP8_DROSI	GO:0032418
N_633._tr|A0A0J9RGY6|A0A0J9RGY6_DROSI	GO:0003676
N_634._tr|B4NSD7|B4NSD7_DROSI	
N_635._tr|A0A0J9TGS1|A0A0J9TGS1_DROSI	GO:0004565	GO:0005975	GO:0009341
N_636._tr|B4Q521|B4Q521_DROSI	GO:0006813	GO:0006814	GO:0005890
N_637._tr|A0A0J9S0U1|A0A0J9S0U1_DROSI	GO:0005515	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0003993	GO:0046872	GO:0004672	GO:0006468	GO:0005515	GO:0005515
N_638._tr|A0A0J9RV36|A0A0J9RV36_DROSI	GO:0003723
N_639._tr|B4QJA2|B4QJA2_DROSI	
N_640._tr|A0ZWW2|A0ZWW2_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_641._tr|A0A0J9R7W7|A0A0J9R7W7_DROSI	
N_642._tr|B4R3R2|B4R3R2_DROSI	GO:0003723	GO:0003723
N_643._tr|A0A0J9RTW2|A0A0J9RTW2_DROSI	
N_644._tr|B4QS70|B4QS70_DROSI	GO:0005515	GO:0005509	GO:0005525
N_645._tr|B4R1G0|B4R1G0_DROSI	GO:0000166	GO:0003677	GO:0003887	GO:0008270	GO:0006260	GO:0005634
N_646._tr|B4Q6Y2|B4Q6Y2_DROSI	
N_647._tr|B4R328|B4R328_DROSI	
N_648._tr|Q9TVS8|Q9TVS8_DROSI	
N_649._tr|B4QL96|B4QL96_DROSI	GO:0005096
N_650._tr|A0A0J9R5U2|A0A0J9R5U2_DROSI	
N_651._tr|A0A0J9RC18|A0A0J9RC18_DROSI	GO:0003951	GO:0006741
N_652._tr|B4Q5B6|B4Q5B6_DROSI	
N_653._tr|B4QC55|B4QC55_DROSI	
N_654._tr|A0A0J9RRC6|A0A0J9RRC6_DROSI	GO:0003723	GO:0001682	GO:0006396	GO:0030677
N_655._tr|B6UW24|B6UW24_DROSI	
N_656._tr|B4QJQ3|B4QJQ3_DROSI	
N_657._tr|B4R3U2|B4R3U2_DROSI	
N_658._tr|B4QX60|B4QX60_DROSI	GO:0005524	GO:0016887	GO:0005524	GO:0009378	GO:0006281	GO:0006310
N_659._tr|B4NTN4|B4NTN4_DROSI	
N_660._tr|B4NUV6|B4NUV6_DROSI	
N_661._tr|B4QG45|B4QG45_DROSI	GO:0004252	GO:0006508
N_662._tr|B4R4B6|B4R4B6_DROSI	GO:0000381
N_663._tr|B4QEY6|B4QEY6_DROSI	
