N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_357._tr|B4IY28|B4IY28_DROGR	
N_358._tr|B4J4Z7|B4J4Z7_DROGR	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_359._tr|B4JHX8|B4JHX8_DROGR	GO:0005515	GO:0005515
N_360._tr|B4JH04|B4JH04_DROGR	
N_361._tr|B4JCF0|B4JCF0_DROGR	GO:0016787	GO:0016787
N_362._tr|B4JJC4|B4JJC4_DROGR	
N_363._tr|B4JDY6|B4JDY6_DROGR	
N_364._tr|B4JAL9|B4JAL9_DROGR	GO:0046873	GO:0030001	GO:0055085	GO:0016020
N_365._tr|B4JAR4|B4JAR4_DROGR	GO:0008080	GO:0016747	GO:0008080
N_366._tr|B4J9A7|B4J9A7_DROGR	GO:0005085	GO:0007264
N_367._tr|B4JDA6|B4JDA6_DROGR	GO:0004252	GO:0006508
N_368._tr|B4K257|B4K257_DROGR	
N_369._tr|B4JH10|B4JH10_DROGR	GO:0005576	GO:0042742	GO:0005576
N_370._tr|B4JA01|B4JA01_DROGR	
N_371._tr|B4IYT5|B4IYT5_DROGR	
N_372._tr|B4JYL5|B4JYL5_DROGR	GO:0005549
N_373._tr|B4IZF1|B4IZF1_DROGR	GO:0005515
N_374._tr|B4J237|B4J237_DROGR	
N_375._tr|B4JG76|B4JG76_DROGR	
N_376._tr|B4JNV9|B4JNV9_DROGR	
N_377._tr|B4JR55|B4JR55_DROGR	
N_378._tr|B4JJU6|B4JJU6_DROGR	GO:0005515	GO:0005515
N_379._tr|B4JLA1|B4JLA1_DROGR	GO:0016301	GO:0032958
N_380._tr|B4JEM0|B4JEM0_DROGR	
N_381._tr|B4J0P7|B4J0P7_DROGR	GO:0008061	GO:0005576
N_382._tr|B4K269|B4K269_DROGR	GO:0050909	GO:0016021
N_383._tr|B4J8V0|B4J8V0_DROGR	GO:0004843	GO:0016579
N_384._tr|B4JGN6|B4JGN6_DROGR	
N_385._tr|B4IXH9|B4IXH9_DROGR	
N_386._tr|B4J1R5|B4J1R5_DROGR	GO:0005509	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_387._tr|B4J950|B4J950_DROGR	GO:0003676
N_388._tr|B4J3W3|B4J3W3_DROGR	GO:0016021
N_389._tr|B4J008|B4J008_DROGR	GO:0009922	GO:0016021
N_390._tr|B4J9Q3|B4J9Q3_DROGR	GO:0055085	GO:0016020	GO:0005515	GO:0022857	GO:0055085
N_391._tr|B4JQP6|B4JQP6_DROGR	GO:0016746
N_392._tr|B4JMG3|B4JMG3_DROGR	
N_393._tr|B4J155|B4J155_DROGR	GO:0005524
N_394._tr|B4K1E7|B4K1E7_DROGR	GO:0016627
N_395._tr|B4JV57|B4JV57_DROGR	
N_396._tr|B4K3B0|B4K3B0_DROGR	
N_397._tr|B4JPF3|B4JPF3_DROGR	GO:0004725	GO:0006470	GO:0008138	GO:0016311
N_398._tr|B4JM22|B4JM22_DROGR	GO:0005509	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509
N_399._tr|B4J261|B4J261_DROGR	GO:0006464	GO:0015031
N_400._tr|B4J5Z0|B4J5Z0_DROGR	GO:0043066
N_401._tr|B4JHQ9|B4JHQ9_DROGR	
N_402._tr|B4JNB9|B4JNB9_DROGR	
N_403._sp|B4J6D5|EIF3B_DROGR	GO:0003723
N_404._tr|B4JGB9|B4JGB9_DROGR	GO:0016773	GO:0005975	GO:0005524	GO:0140662
N_405._tr|B4J582|B4J582_DROGR	
N_406._tr|B4K196|B4K196_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_407._tr|B4JZC0|B4JZC0_DROGR	
N_408._tr|B4J1F4|B4J1F4_DROGR	
N_409._tr|B4J596|B4J596_DROGR	GO:0004252	GO:0006508
N_410._tr|B4IWR4|B4IWR4_DROGR	GO:0016702
N_411._tr|B4JRC4|B4JRC4_DROGR	GO:0000287	GO:0004743	GO:0030955	GO:0006096
N_412._tr|B4IX54|B4IX54_DROGR	GO:0004252	GO:0006508
N_413._tr|B4JSH0|B4JSH0_DROGR	GO:0005515
N_414._tr|B4JZA6|B4JZA6_DROGR	GO:0005515	GO:0004842
N_415._tr|B4JTG7|B4JTG7_DROGR	
N_416._tr|B4IY54|B4IY54_DROGR	GO:0008081	GO:0006629	GO:2001070
N_417._tr|B4JQY0|B4JQY0_DROGR	GO:0004930	GO:0007186	GO:0016021
N_418._sp|B4JND4|ATBP_DROGR	
N_419._tr|B4J0X0|B4J0X0_DROGR	
N_420._tr|B4JGM3|B4JGM3_DROGR	GO:0003677
N_421._tr|B4J5L9|B4J5L9_DROGR	
N_422._tr|B4JU15|B4JU15_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_423._tr|B4K3T5|B4K3T5_DROGR	
N_424._tr|B4JV05|B4JV05_DROGR	GO:0003735	GO:0006412	GO:0005840	GO:0003735	GO:0006412	GO:0005840
N_425._tr|B4JK15|B4JK15_DROGR	GO:0006189
N_426._tr|B4J027|B4J027_DROGR	GO:0005524	GO:0140662	GO:0006457
N_427._tr|B4JLT0|B4JLT0_DROGR	GO:0015986
N_428._tr|B4J5T3|B4J5T3_DROGR	GO:0005515	GO:0007165
N_429._tr|B4IYG1|B4IYG1_DROGR	GO:0050909	GO:0016021
N_430._tr|B4K170|B4K170_DROGR	
N_431._tr|B4JKB3|B4JKB3_DROGR	GO:0003723
N_432._tr|B4JLN9|B4JLN9_DROGR	
N_433._tr|B4J067|B4J067_DROGR	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_434._tr|B4JEG6|B4JEG6_DROGR	GO:0016021
N_435._tr|B4J9T1|B4J9T1_DROGR	GO:0003824	GO:0043169	GO:0005975	GO:0005975
N_436._tr|B4JAJ7|B4JAJ7_DROGR	GO:0005515	GO:0005515	GO:0031267	GO:0006886
N_437._tr|B4JUQ6|B4JUQ6_DROGR	GO:0003723
N_438._tr|B4J3W6|B4J3W6_DROGR	GO:0016021
N_439._tr|B4JUZ1|B4JUZ1_DROGR	
N_440._tr|B4JF90|B4JF90_DROGR	
N_441._tr|B4JZ17|B4JZ17_DROGR	GO:0003723	GO:0003743	GO:0006413
N_442._tr|B4JLX6|B4JLX6_DROGR	GO:0003735	GO:0006412	GO:0005840
N_443._tr|B4JDU7|B4JDU7_DROGR	GO:0003755	GO:0000413
N_444._tr|B4JGG3|B4JGG3_DROGR	
N_445._tr|B4J3Y2|B4J3Y2_DROGR	GO:0016021
N_446._tr|B4JLS9|B4JLS9_DROGR	
N_447._tr|B4JV73|B4JV73_DROGR	
N_448._tr|B4JTJ5|B4JTJ5_DROGR	
N_449._tr|B4J2A1|B4J2A1_DROGR	
N_450._tr|B4J8N4|B4J8N4_DROGR	GO:0003723
N_451._tr|B4IXE6|B4IXE6_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_452._tr|B4IZ07|B4IZ07_DROGR	
N_453._tr|B4JU59|B4JU59_DROGR	GO:0003729	GO:0006397	GO:0035145
N_454._tr|B4JGI4|B4JGI4_DROGR	GO:0005515	GO:0005515
N_455._tr|B4JS50|B4JS50_DROGR	
N_456._tr|B4JBZ7|B4JBZ7_DROGR	GO:0005515
N_457._tr|B4JEG7|B4JEG7_DROGR	GO:0008236	GO:0006508
N_458._tr|B4JSF3|B4JSF3_DROGR	
N_459._tr|B4JGT0|B4JGT0_DROGR	GO:0006465	GO:0005787	GO:0016021
N_460._tr|B4J0P4|B4J0P4_DROGR	GO:0008061	GO:0005576
N_461._tr|B4JFQ5|B4JFQ5_DROGR	
N_462._tr|B4J4N2|B4J4N2_DROGR	GO:0000398	GO:0000398	GO:0003723	GO:0005515	GO:0070122	GO:0140492	GO:0017070	GO:0030623
N_463._tr|B4J796|B4J796_DROGR	
N_464._tr|B4K1A2|B4K1A2_DROGR	GO:0009190	GO:0035556
N_465._tr|B4JUB0|B4JUB0_DROGR	GO:0008312	GO:0030942	GO:0006614	GO:0005786
N_466._tr|B4J957|B4J957_DROGR	GO:0003725
N_467._tr|B4JXB6|B4JXB6_DROGR	
N_468._tr|B4K0G0|B4K0G0_DROGR	
N_469._tr|B4J2J1|B4J2J1_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_470._tr|B4JVD6|B4JVD6_DROGR	GO:0005515
N_471._tr|B4JGB6|B4JGB6_DROGR	GO:0008168	GO:0008168
N_472._tr|B4JK76|B4JK76_DROGR	
N_473._tr|B4J1G1|B4J1G1_DROGR	
N_474._tr|B4K0P6|B4K0P6_DROGR	
N_475._tr|B4IXB3|B4IXB3_DROGR	
N_476._tr|B4JE06|B4JE06_DROGR	
N_477._tr|B4JKD1|B4JKD1_DROGR	
N_478._tr|B4J9W5|B4J9W5_DROGR	
N_479._tr|B4JJX7|B4JJX7_DROGR	
N_480._tr|B4JY62|B4JY62_DROGR	GO:0061630	GO:0016567	GO:0016021
N_481._tr|B4JNJ8|B4JNJ8_DROGR	
N_482._tr|B4JKP1|B4JKP1_DROGR	GO:0005886	GO:0016021
N_483._tr|B4J2B9|B4J2B9_DROGR	GO:0004930
N_484._tr|B4JCB2|B4JCB2_DROGR	GO:0016020
N_485._tr|B4J2D5|B4J2D5_DROGR	
N_486._tr|B4JPK0|B4JPK0_DROGR	GO:0051287	GO:0016616	GO:0051287
N_487._tr|B4JY50|B4JY50_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_488._tr|B4IZM4|B4IZM4_DROGR	GO:0005515
N_489._tr|B4JYY9|B4JYY9_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_490._tr|B4JHN3|B4JHN3_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_491._tr|B4J462|B4J462_DROGR	
N_492._tr|B4J3W4|B4J3W4_DROGR	GO:0016021
N_493._tr|B4JI79|B4JI79_DROGR	
N_494._tr|B4K1D2|B4K1D2_DROGR	GO:0005515	GO:0005515
N_495._tr|B4J2L5|B4J2L5_DROGR	GO:0009968	GO:0005737
N_496._tr|B4J1B3|B4J1B3_DROGR	
N_497._tr|B4JV41|B4JV41_DROGR	GO:0016021
N_498._tr|B4JSW7|B4JSW7_DROGR	GO:0000077
N_499._tr|B4J9V0|B4J9V0_DROGR	
N_500._tr|B4IZX9|B4IZX9_DROGR	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_501._tr|B4JTV2|B4JTV2_DROGR	
N_502._tr|B4J3X8|B4J3X8_DROGR	GO:0038023	GO:0016021
N_503._tr|B4J3I5|B4J3I5_DROGR	GO:0004252	GO:0006508
N_504._tr|B4JWE9|B4JWE9_DROGR	
N_505._tr|B4JE32|B4JE32_DROGR	GO:0003678	GO:0005524	GO:0006260
N_506._tr|B4J7G7|B4J7G7_DROGR	GO:0005515
N_507._tr|B4IZK0|B4IZK0_DROGR	GO:0003723
N_508._tr|B4JUH1|B4JUH1_DROGR	GO:0005515	GO:0046983	GO:0005515
N_509._tr|B4J0F7|B4J0F7_DROGR	GO:0016573	GO:0000123
N_510._tr|B4JG30|B4JG30_DROGR	GO:0006123	GO:0005743	GO:0005751
N_511._tr|B4J961|B4J961_DROGR	
N_512._tr|B4J4L6|B4J4L6_DROGR	GO:0004930	GO:0007186	GO:0016021
N_513._tr|B4JYY4|B4JYY4_DROGR	GO:0016021
N_514._tr|B4J6F3|B4J6F3_DROGR	GO:0003735	GO:0006412	GO:0005840
N_515._tr|B4JZ06|B4JZ06_DROGR	GO:0008236	GO:0006508
N_516._tr|B4J2Y9|B4J2Y9_DROGR	GO:0005515	GO:0005515
N_517._tr|B4JVC2|B4JVC2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_518._tr|B4JMY5|B4JMY5_DROGR	
N_519._tr|B4J5S3|B4J5S3_DROGR	GO:0006952
N_520._tr|B4JM17|B4JM17_DROGR	
N_521._tr|B4JIB6|B4JIB6_DROGR	
N_522._tr|B4JEW6|B4JEW6_DROGR	GO:0016491	GO:0016491	GO:0046872	GO:0051536	GO:0016491
N_523._tr|B4JF48|B4JF48_DROGR	GO:0043130
N_524._tr|B4J6S6|B4J6S6_DROGR	GO:0005524	GO:0006576	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_525._tr|B4JEQ0|B4JEQ0_DROGR	GO:0005524	GO:0016887	GO:0051082	GO:0006457
N_526._tr|B4JRG1|B4JRG1_DROGR	GO:0030246
N_527._tr|B4JF13|B4JF13_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_528._tr|B4IY34|B4IY34_DROGR	GO:0008483	GO:0030170
N_529._tr|B4JHN2|B4JHN2_DROGR	GO:0016021
N_530._tr|B4JX50|B4JX50_DROGR	GO:0016780	GO:0008654	GO:0016020
N_531._tr|B4JHY4|B4JHY4_DROGR	
N_532._tr|B4J2T8|B4J2T8_DROGR	
N_533._tr|B4JGE9|B4JGE9_DROGR	GO:0006850	GO:0005743
N_534._tr|B4J3D6|B4J3D6_DROGR	GO:0005840
N_535._tr|B4JHA6|B4JHA6_DROGR	GO:0018024	GO:0008176	GO:0006400
N_536._tr|B4JQT5|B4JQT5_DROGR	GO:0006352	GO:0005669
N_537._tr|B4IXW9|B4IXW9_DROGR	
N_538._tr|B4JC65|B4JC65_DROGR	GO:0016788
N_539._tr|B4JX34|B4JX34_DROGR	
N_540._tr|B4JNW7|B4JNW7_DROGR	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_541._sp|B4JAL5|HOOK_DROGR	GO:0008017	GO:0031122	GO:0030705
N_542._tr|B4JB25|B4JB25_DROGR	GO:0046872
N_543._tr|B4JHP8|B4JHP8_DROGR	GO:0004222	GO:0006508
N_544._tr|B4J0R1|B4J0R1_DROGR	GO:0003723	GO:0003723	GO:0003723
N_545._tr|B4JKI2|B4JKI2_DROGR	GO:0070403
N_546._tr|B4IYI5|B4IYI5_DROGR	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_547._tr|B4JUF6|B4JUF6_DROGR	GO:0016787
N_548._tr|B4K1T6|B4K1T6_DROGR	GO:0003755	GO:0000413
N_549._tr|B4JU75|B4JU75_DROGR	GO:0005272	GO:0006814	GO:0016020
N_550._tr|B4JCB9|B4JCB9_DROGR	GO:0003723	GO:0003723	GO:0003723	GO:0004535	GO:0046872	GO:0006402	GO:0005634	GO:0005737
N_551._tr|B4JNJ0|B4JNJ0_DROGR	GO:0005524	GO:0009058
N_552._tr|B4J9K2|B4J9K2_DROGR	
N_553._tr|B4K2S1|B4K2S1_DROGR	
N_554._tr|B4JR69|B4JR69_DROGR	
N_555._tr|B4JY68|B4JY68_DROGR	GO:0008061	GO:0005576
N_556._tr|B4JNM5|B4JNM5_DROGR	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_557._tr|B4IZA1|B4IZA1_DROGR	GO:0005509
N_558._tr|B4K045|B4K045_DROGR	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_559._tr|B4K3H9|B4K3H9_DROGR	GO:0008484
N_560._tr|B4JIZ9|B4JIZ9_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_561._tr|B4JCX5|B4JCX5_DROGR	GO:0005515
N_562._tr|B4J6Z1|B4J6Z1_DROGR	
N_563._tr|B4JYD1|B4JYD1_DROGR	
N_564._tr|B4IZ84|B4IZ84_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_565._tr|B4JAC3|B4JAC3_DROGR	GO:0016765	GO:0016021
N_566._tr|B4JE30|B4JE30_DROGR	GO:0005515	GO:0005515	GO:0003755	GO:0005515
N_567._tr|B4JZN9|B4JZN9_DROGR	GO:0046034	GO:1902600	GO:0005524
N_568._tr|B4J9V2|B4J9V2_DROGR	GO:0003924	GO:0005525	GO:0017111	GO:0005524	GO:0008134	GO:0006355	GO:0005524	GO:0005524	GO:0008134	GO:0006355	GO:0003723	GO:0003724	GO:0005524	GO:0005524	GO:0016887	GO:0005524	GO:0006576	GO:0005525	GO:0006614	GO:0005524	GO:0005524	GO:0002949	GO:0008569	GO:0007018	GO:0030286	GO:0009378	GO:0006281	GO:0006310	GO:0005525	GO:0005524	GO:0016887	GO:0005524	GO:0016887
N_569._tr|B4J593|B4J593_DROGR	
N_570._tr|B4JCY0|B4JCY0_DROGR	GO:0003735	GO:0006412	GO:0005840
N_571._tr|B4JKH0|B4JKH0_DROGR	GO:0016791	GO:0003824	GO:0046872	GO:0008484
N_572._tr|B4K2P2|B4K2P2_DROGR	GO:0003677	GO:0006260	GO:0005664
N_573._tr|B4JWV0|B4JWV0_DROGR	GO:0005509	GO:0005515
N_574._tr|B4JX45|B4JX45_DROGR	GO:0005509	GO:0005509
N_575._tr|B4JCR1|B4JCR1_DROGR	GO:0008194	GO:0016758
N_576._tr|B4J215|B4J215_DROGR	GO:0008612
N_577._tr|B4JPP5|B4JPP5_DROGR	
N_578._tr|B4JKX9|B4JKX9_DROGR	GO:0005861
N_579._tr|B4JYE2|B4JYE2_DROGR	
N_580._tr|B4J2W2|B4J2W2_DROGR	
N_581._tr|B4JGG9|B4JGG9_DROGR	GO:0005515
N_582._tr|B4J722|B4J722_DROGR	
N_583._tr|B4K1S4|B4K1S4_DROGR	
N_584._tr|B4JT87|B4JT87_DROGR	GO:0003854	GO:0016616	GO:0006694
N_585._tr|B4K2Q5|B4K2Q5_DROGR	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_586._tr|B4J2R8|B4J2R8_DROGR	GO:0003677
N_587._tr|B4JPE8|B4JPE8_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_588._tr|B4JMK3|B4JMK3_DROGR	GO:0016746	GO:0016746
N_589._tr|B4JMV5|B4JMV5_DROGR	
N_590._tr|B4J4C5|B4J4C5_DROGR	GO:0003677
N_591._tr|B4J4Y0|B4J4Y0_DROGR	GO:0006464
N_592._tr|B4JFX8|B4JFX8_DROGR	
N_593._tr|B4J922|B4J922_DROGR	GO:0004721
N_594._tr|B4JQ81|B4JQ81_DROGR	
N_595._tr|B4JSA7|B4JSA7_DROGR	
N_596._tr|B4JT90|B4JT90_DROGR	GO:0004420	GO:0015936	GO:0016021
N_597._tr|B4IY33|B4IY33_DROGR	GO:0046872
N_598._tr|B4JDR6|B4JDR6_DROGR	GO:0005515
N_599._tr|B4JDH9|B4JDH9_DROGR	GO:0005515	GO:0005515
N_600._tr|B4JME0|B4JME0_DROGR	GO:0048870	GO:0031514
N_601._tr|B4JFE8|B4JFE8_DROGR	GO:0003723
N_602._tr|B4J5T7|B4J5T7_DROGR	
N_603._tr|B4K431|B4K431_DROGR	GO:0019731	GO:0005576
N_604._tr|B4JAJ9|B4JAJ9_DROGR	GO:0003924	GO:0005525	GO:0005525	GO:0005525
N_605._tr|B4J4N5|B4J4N5_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_606._tr|B4JMM2|B4JMM2_DROGR	GO:0007166	GO:0016020	GO:0005515
N_607._tr|B4J014|B4J014_DROGR	GO:0005515
N_608._tr|B4JY92|B4JY92_DROGR	GO:0004252	GO:0006508
N_609._tr|B4JRJ5|B4JRJ5_DROGR	
N_610._tr|B4JCT2|B4JCT2_DROGR	GO:0005515	GO:0005515	GO:0005515
N_611._tr|B4JXU7|B4JXU7_DROGR	
N_612._tr|B4JYT6|B4JYT6_DROGR	GO:0005515	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0005515	GO:0004672	GO:0006468	GO:0005515	GO:0046872
N_613._tr|B4J3N8|B4J3N8_DROGR	GO:0005515	GO:0005515	GO:0016409	GO:0005515	GO:0005515	GO:0005515
N_614._tr|B4IX21|B4IX21_DROGR	GO:0042742	GO:0005576
N_615._tr|B4JTM8|B4JTM8_DROGR	GO:0055085	GO:0016020	GO:0016021
N_616._tr|B4JL06|B4JL06_DROGR	
N_617._tr|B4JRS4|B4JRS4_DROGR	GO:0004402	GO:0006355	GO:0016573
N_618._tr|B4JQA4|B4JQA4_DROGR	
N_619._tr|B4IXV4|B4IXV4_DROGR	
N_620._tr|B4IYC7|B4IYC7_DROGR	
N_621._tr|B4J9E0|B4J9E0_DROGR	GO:0042274
N_622._tr|B4JMF3|B4JMF3_DROGR	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787	GO:0043138	GO:0006260	GO:0006281
N_623._tr|B4J587|B4J587_DROGR	GO:0008234	GO:0006508
N_624._tr|B4JGB4|B4JGB4_DROGR	GO:0016491
N_625._tr|B4JSG9|B4JSG9_DROGR	GO:0006396	GO:0005634
N_626._tr|B4J5F8|B4J5F8_DROGR	GO:0005515
N_627._tr|B4JWU4|B4JWU4_DROGR	GO:0004843	GO:0016579	GO:0008270
N_628._tr|B4JEX4|B4JEX4_DROGR	
N_629._tr|B4JZ94|B4JZ94_DROGR	
N_630._tr|B4IZI5|B4IZI5_DROGR	GO:0032977	GO:0016021
N_631._tr|B4J8B5|B4J8B5_DROGR	
N_632._tr|B4J6H2|B4J6H2_DROGR	GO:0004722
N_633._tr|B4JRP3|B4JRP3_DROGR	
N_634._tr|B4JC58|B4JC58_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_635._tr|B4J5M6|B4J5M6_DROGR	GO:0004185	GO:0006508
N_636._tr|B4JN64|B4JN64_DROGR	GO:0004222	GO:0006508	GO:0006508
N_637._tr|B4JFF1|B4JFF1_DROGR	GO:0003677
N_638._tr|B4JS69|B4JS69_DROGR	GO:0022857	GO:0055085
N_639._tr|B4K066|B4K066_DROGR	
N_640._tr|B4JY95|B4JY95_DROGR	
N_641._tr|B4JYD8|B4JYD8_DROGR	
N_642._tr|B4J9X2|B4J9X2_DROGR	
N_643._tr|B4IYL6|B4IYL6_DROGR	GO:0003779	GO:0007010
N_644._tr|B4JBZ3|B4JBZ3_DROGR	GO:0005515
N_645._tr|B4JYC0|B4JYC0_DROGR	
N_646._tr|B4JUT7|B4JUT7_DROGR	GO:0005525
N_647._sp|B4IXD3|QTRT2_DROGR	GO:0016763	GO:0006400
N_648._tr|B4K0U6|B4K0U6_DROGR	
N_649._tr|B4JU50|B4JU50_DROGR	GO:0006334	GO:0005634
N_650._tr|B4JB38|B4JB38_DROGR	GO:0004126	GO:0008270	GO:0009972
N_651._tr|B4JWD0|B4JWD0_DROGR	GO:0005549
N_652._tr|B4JR64|B4JR64_DROGR	GO:0004725	GO:0006470	GO:0008138	GO:0016311	GO:0005515	GO:0003993	GO:0046872	GO:0004721
N_653._tr|B4K2I0|B4K2I0_DROGR	GO:0007165	GO:0005515
N_654._tr|B4J885|B4J885_DROGR	GO:0004222	GO:0006508	GO:0006508
N_655._tr|B4JP81|B4JP81_DROGR	
N_656._tr|B4IWT0|B4IWT0_DROGR	
N_657._tr|B4JPS1|B4JPS1_DROGR	GO:0005515
N_658._tr|B4J1F8|B4J1F8_DROGR	
N_659._tr|B4J0C4|B4J0C4_DROGR	
N_660._tr|B4JQY4|B4JQY4_DROGR	GO:0046872
N_661._tr|B4K1M1|B4K1M1_DROGR	
N_662._tr|B4JII1|B4JII1_DROGR	GO:0003924	GO:0005525	GO:0005509	GO:0003924	GO:0005525	GO:0005509	GO:0005509
N_663._tr|B4JT04|B4JT04_DROGR	GO:0005524	GO:0008134	GO:0006355	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0005524	GO:0005524	GO:0016887
N_664._tr|B4J759|B4J759_DROGR	GO:0005515	GO:0005515	GO:0005515
N_665._tr|B4JI89|B4JI89_DROGR	GO:0005515
N_666._tr|B4J979|B4J979_DROGR	
N_667._tr|B4J2S7|B4J2S7_DROGR	
N_668._tr|S6G3A6|S6G3A6_DROGR	GO:0016787
N_669._tr|B4J4L7|B4J4L7_DROGR	GO:0008270	GO:0046872	GO:0008270	GO:0061630	GO:0097602	GO:0031145	GO:0005680
N_670._tr|B4JE03|B4JE03_DROGR	
N_671._tr|B4JNF6|B4JNF6_DROGR	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_672._tr|B4JKR5|B4JKR5_DROGR	GO:0005515
N_673._tr|B4JPU7|B4JPU7_DROGR	GO:0055085	GO:0005741
N_674._tr|B4JW13|B4JW13_DROGR	GO:0004222	GO:0006508
N_675._tr|B4JEZ4|B4JEZ4_DROGR	
N_676._tr|B4JWS0|B4JWS0_DROGR	GO:0016462	GO:0005737
N_677._tr|B4J7D3|B4J7D3_DROGR	
N_678._tr|B4JS63|B4JS63_DROGR	GO:0008194	GO:0016758
N_679._tr|B4J295|B4J295_DROGR	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_680._tr|B4JVU6|B4JVU6_DROGR	GO:0051287	GO:0050661	GO:0070403	GO:0006631	GO:0016491	GO:0016616	GO:0006631	GO:0016616	GO:0051287	GO:0046168
N_681._tr|B4J3S5|B4J3S5_DROGR	
N_682._tr|B4JXY7|B4JXY7_DROGR	GO:0005515
N_683._tr|B4JFS5|B4JFS5_DROGR	GO:0005515	GO:0005515	GO:0042802
N_684._tr|B4JJD2|B4JJD2_DROGR	
N_685._tr|B4JZF2|B4JZF2_DROGR	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_686._tr|B4JEE1|B4JEE1_DROGR	
N_687._tr|B4JH00|B4JH00_DROGR	GO:0015078	GO:1902600	GO:0033177
N_688._tr|B4JPB9|B4JPB9_DROGR	
N_689._tr|B4J662|B4J662_DROGR	GO:0030170	GO:0019346	GO:0030170	GO:0009058	GO:0016829	GO:0006520
N_690._tr|B4J9V3|B4J9V3_DROGR	
N_691._tr|B4IX93|B4IX93_DROGR	
N_692._tr|B4K158|B4K158_DROGR	GO:0004565	GO:0005975	GO:0009341
N_693._tr|B4JA84|B4JA84_DROGR	GO:0005515
N_694._sp|B4IXJ2|CUE_DROGR	
N_695._tr|B4JHP6|B4JHP6_DROGR	
N_696._tr|B4JFC9|B4JFC9_DROGR	GO:0004559	GO:0006013	GO:0004559	GO:0006013	GO:0004559	GO:0006013
N_697._tr|B4JH70|B4JH70_DROGR	GO:0051028	GO:0005634	GO:0003723	GO:0006406	GO:0005737
N_698._tr|B4JNY6|B4JNY6_DROGR	GO:0005783
N_699._tr|B4JTF3|B4JTF3_DROGR	GO:0046872
N_700._tr|B4JEX3|B4JEX3_DROGR	
N_701._tr|B4IZL0|B4IZL0_DROGR	GO:0042254	GO:0005634	GO:0005525	GO:0003924	GO:0005525
N_702._tr|B4J7A0|B4J7A0_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_703._tr|B4JUK3|B4JUK3_DROGR	
N_704._tr|B4JPC3|B4JPC3_DROGR	
N_705._tr|B4JUR3|B4JUR3_DROGR	GO:0005524	GO:0140662
N_706._tr|B4JVK2|B4JVK2_DROGR	GO:0016491
N_707._tr|B4J6B1|B4J6B1_DROGR	GO:0004252	GO:0006508
N_708._tr|B4J7M3|B4J7M3_DROGR	GO:0006606
N_709._tr|B4JEH0|B4JEH0_DROGR	GO:0005515	GO:0005515
N_710._tr|B4JC64|B4JC64_DROGR	GO:0005524	GO:0016020	GO:0140359	GO:0055085	GO:0005524	GO:0016887
N_711._tr|B4JV23|B4JV23_DROGR	GO:0004383	GO:0006182	GO:0020037	GO:0009190	GO:0035556
N_712._tr|B4K101|B4K101_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_713._tr|B4JU07|B4JU07_DROGR	
